"","AOI.Name","Trial","Stimulus","Category.Group","Index","Event.Start.Trial.Time","Event.End.Trial.Time","Event.Duration","Participant"
"7590",NA,26,"Folie5.jpg","Eye",11,5041.7,5052.8,16.7,"p6"
"7591","Fixation",20,"Folie29.jpg","Eye",3,607.1,786.1,142,"p6"
"7592","Grid",18,"Folie11.jpg","Eye",23,8322.5,8447,83.5,"p6"
"7593","Grid",29,"Folie15.jpg","Eye",28,8082.1,8372,325.6,"p6"
"7594",NA,23,"Folie14.jpg","Eye",8,2248,2285.3,50.1,"p6"
"7595","Grid",27,"Folie18.jpg","Eye",12,4777.5,4938.8,167,"p6"
"7596",NA,30,"Folie17.jpg","Eye",19,8195.3,8219.6,8.4,"p6"
"7597","Grid",24,"Folie21.jpg","Eye",10,3204.6,3457,283.8,"p6"
"7598","Fixation",20,"Folie29.jpg","Eye",2,263.5,402.2,158.6,"p6"
"7599",NA,10,"Folie23.jpg","Eye",2,249.1,276.6,50.2,"p6"
"7600","Fixation",8,"Folie22.jpg","Eye",3,654.8,1996.3,1352.9,"p6"
"7601",NA,16,"Folie27.jpg","Eye",23,8893.9,8921.2,50.1,"p6"
"7602","Grid",28,"Folie6.jpg","Eye",16,7191.3,7708.6,484.3,"p6"
"7603",NA,21,"Folie10.jpg","Eye",1,1167.8,1222.8,91.8,"p6"
"7604",NA,2,"Folie3.jpg","Eye",4,2383,2392.9,8.4,"p6"
"7605",NA,17,"Folie1.jpg","Eye",4,1006.1,1014.4,83.5,"p6"
"7606","Grid",11,"Folie30.jpg","Eye",25,5399.1,5667.5,292.3,"p6"
"7607",NA,21,"Folie10.jpg","Eye",3,2326.7,2382,50.1,"p6"
"7608",NA,25,"Folie28.jpg","Eye",10,3990.1,4017.8,8.3,"p6"
"7609",NA,9,"Folie16.jpg","Eye",21,8965.3,8995,16.7,"p6"
"7610",NA,18,"Folie11.jpg","Eye",16,6253.3,6351.1,83.5,"p6"
"7611","Fixation",26,"Folie5.jpg","Eye",41,39807.7,39532.3,83.5,"p6"
"7612",NA,5,"Folie12.jpg","Eye",5,2762.3,2759.3,16.7,"p6"
"7613","Grid",5,"Folie12.jpg","Eye",10,2269.4,2434.9,167,"p6"
"7614","Grid",13,"Folie7.jpg","Eye",26,7925.9,8018.5,91.9,"p6"
"7615","Target Word",23,"Folie14.jpg","Eye",8,2648.4,2921.2,242.2,"p6"
"7616","Grid",18,"Folie11.jpg","Eye",15,4341.6,4545.3,233.6,"p6"
"7617","Grid",6,"Folie9.jpg","Eye",23,5440.9,5690.8,267,"p6"
"7618","Grid",2,"Folie3.jpg","Eye",12,3878.9,4028.7,167,"p6"
"7619",NA,21,"Folie10.jpg","Eye",17,5400.7,5423.8,75.1,"p6"
"7620","Grid",28,"Folie6.jpg","Eye",10,3440.2,3649.2,217.1,"p6"
"7621",NA,16,"Folie27.jpg","Eye",10,3762.7,3770.8,16.7,"p6"
"7622",NA,19,"Folie2.jpg","Eye",9,3109.3,3114.7,8.4,"p6"
"7623","Grid",18,"Folie11.jpg","Eye",24,6206.8,6388.7,118,"p6"
"7624","Grid",11,"Folie30.jpg","Eye",22,7619.8,7686.6,100.2,"p6"
"7625","Grid",15,"Folie8.jpg","Eye",14,4476.2,4691.6,216.9,"p6"
"7626",NA,8,"Folie22.jpg","Eye",26,8943.3,8951.7,8.4,"p6"
"7627",NA,4,"Folie24.jpg","Eye",13,4001.4,4023.2,25,"p6"
"7628",NA,30,"Folie17.jpg","Eye",13,4937.4,4949.8,8.4,"p6"
"7629",NA,6,"Folie9.jpg","Eye",10,3325.2,3363.1,50.1,"p6"
"7630",NA,21,"Folie10.jpg","Eye",9,2020.7,2032.9,83.5,"p6"
"7631","Fixation",19,"Folie2.jpg","Eye",3,962,1547.2,601.1,"p6"
"7632","Grid",13,"Folie7.jpg","Eye",15,7981.2,8365.3,359,"p6"
"7633",NA,29,"Folie15.jpg","Eye",10,3338.7,3364.3,16.7,"p6"
"7634",NA,4,"Folie24.jpg","Eye",15,5844.8,5859.7,16.7,"p6"
"7635","Grid",5,"Folie12.jpg","Eye",31,8394.4,8612.1,242.2,"p6"
"7636","Grid",8,"Folie22.jpg","Eye",12,3598.3,3868.1,217,"p6"
"7637",NA,30,"Folie17.jpg","Eye",2,387.1,397.6,8.4,"p6"
"7638",NA,10,"Folie23.jpg","Eye",2,724.1,902.8,459.2,"p6"
"7639",NA,27,"Folie18.jpg","Eye",5,972.3,968.9,8.3,"p6"
"7640",NA,8,"Folie22.jpg","Eye",15,4607.1,4623.5,16.7,"p6"
"7641","Grid",26,"Folie5.jpg","Eye",8,2715.4,2875.5,183.8,"p6"
"7642","Grid",9,"Folie16.jpg","Eye",8,2845.8,3035.4,225.5,"p6"
"7643","White Space",29,"Folie15.jpg","Eye",6,2426.2,2486.5,83.6,"p6"
"7644","White Space",6,"Folie9.jpg","Eye",7,2469.1,2527.8,83.5,"p6"
"7645","Target Word",8,"Folie22.jpg","Eye",30,8753.9,8859,91.8,"p6"
"7646",NA,26,"Folie5.jpg","Eye",31,8786,8807.4,8.4,"p6"
"7647",NA,1,"Folie19.jpg","Eye",7,2845.2,2884.3,33.4,"p6"
"7648","Grid",8,"Folie22.jpg","Eye",8,2281.6,2487.7,233.8,"p6"
"7649","Grid",13,"Folie7.jpg","Eye",10,3464.1,3750.4,283.9,"p6"
"7650","White Space",23,"Folie14.jpg","Eye",20,7297.9,7509.8,192.9,"p6"
"7651",NA,20,"Folie29.jpg","Eye",15,3906.7,3946.2,8.3,"p6"
"7652",NA,29,"Folie15.jpg","Eye",7,2548.2,2563,8.4,"p6"
"7653","Grid",26,"Folie5.jpg","Eye",10,3263.5,3390.4,100.2,"p6"
"7654","Target Word",17,"Folie1.jpg","Eye",13,7056.1,7232.5,250.3,"p6"
"7655",NA,13,"Folie7.jpg","Eye",10,3954.9,3958.4,25,"p6"
"7656",NA,22,"Folie13.jpg","Eye",2,470,492.2,16.7,"p6"
"7657","Grid",11,"Folie30.jpg","Eye",10,3112.9,3326.3,200.4,"p6"
"7658","Grid",20,"Folie29.jpg","Eye",21,4606,4757.4,150.2,"p6"
"7659",NA,21,"Folie10.jpg","Eye",5,768.2,774.1,50.1,"p6"
"7660",NA,21,"Folie10.jpg","Eye",12,4623.4,4656.4,33.4,"p6"
"7661","Fixation",6,"Folie9.jpg","Eye",1,3.4,307.1,342.4,"p6"
"7662",NA,16,"Folie27.jpg","Eye",8,1713.5,1767.5,141.9,"p6"
"7663","Grid",20,"Folie29.jpg","Eye",16,4760.7,4997.1,217.2,"p6"
"7664","Target Word",22,"Folie13.jpg","Eye",4,1085.5,1401.9,593,"p6"
"7665","White Space",23,"Folie14.jpg","Eye",3,2398.7,2504.1,133.5,"p6"
"7666",NA,3,"Folie25.jpg","Eye",15,7294.6,7315.4,8.4,"p6"
"7667",NA,24,"Folie21.jpg","Eye",5,3620.1,3655.5,8.4,"p6"
"7668","Grid",16,"Folie27.jpg","Eye",13,3390.4,3594.1,183.7,"p6"
"7669",NA,20,"Folie29.jpg","Eye",11,3750.3,3776.3,16.7,"p6"
"7670",NA,15,"Folie8.jpg","Eye",18,7247.9,7271.2,16.7,"p6"
"7671","Grid",21,"Folie10.jpg","Eye",13,4295.3,4394.9,83.5,"p6"
"7672",NA,28,"Folie6.jpg","Eye",1,246.5,255.9,8.3,"p6"
"7673","Target Word",6,"Folie9.jpg","Eye",20,4909.2,5004.2,100.2,"p6"
"7674","Grid",28,"Folie6.jpg","Eye",20,6620.3,6696.2,116.8,"p6"
"7675",NA,11,"Folie30.jpg","Eye",31,9039.3,9092.5,50.1,"p6"
"7676",NA,12,"Folie4.jpg","Eye",2,465.9,478.5,8.4,"p6"
"7677",NA,10,"Folie23.jpg","Eye",8,3302.4,3304.8,25.1,"p6"
"7678","Grid",22,"Folie13.jpg","Eye",21,8620.7,9087.8,417.7,"p6"
"7679",NA,7,"Folie26.jpg","Eye",8,2974.6,2996.2,8.3,"p6"
"7680","Fixation",12,"Folie4.jpg","Eye",10,4862.8,6038.8,1176,"p6"
"7681","Fixation",6,"Folie9.jpg","Eye",2,290.8,426.7,141.9,"p6"
"7682","Fixation",24,"Folie21.jpg","Eye",4,686.4,1058.6,325.6,"p6"
"7683",NA,1,"Folie19.jpg","Eye",19,6972.4,7007.7,8.3,"p6"
"7684",NA,11,"Folie30.jpg","Eye",2,1024.9,1099.3,8.4,"p6"
"7685",NA,7,"Folie26.jpg","Eye",23,6888.9,6913.8,41.7,"p6"
"7686","Grid",5,"Folie12.jpg","Eye",23,7922.9,8351.9,467.2,"p6"
"7687",NA,10,"Folie23.jpg","Eye",9,2298.6,2291.6,41.8,"p6"
"7688",NA,25,"Folie28.jpg","Eye",8,3034.3,3051.2,8.4,"p6"
"7689",NA,8,"Folie22.jpg","Eye",11,3732.8,3754.8,16.7,"p6"
"7690","Grid",5,"Folie12.jpg","Eye",30,7506.9,7582.1,150.3,"p6"
"7691",NA,2,"Folie3.jpg","Eye",22,7474.7,7471.9,8.3,"p6"
"7692",NA,2,"Folie3.jpg","Eye",18,8025.4,8028.2,34,"p6"
"7693",NA,10,"Folie23.jpg","Eye",3,7703.9,8583.7,977,"p6"
"7694","Grid",16,"Folie27.jpg","Eye",25,7249.4,7458.7,208.8,"p6"
"7695",NA,28,"Folie6.jpg","Eye",5,2727.7,2769.7,66.8,"p6"
"7696",NA,23,"Folie14.jpg","Eye",13,4389,4404.3,8.4,"p6"
"7697",NA,4,"Folie24.jpg","Eye",7,2682.7,2704.6,8.4,"p6"
"7698",NA,12,"Folie4.jpg","Eye",17,7046.7,7068,83.6,"p6"
"7699","Target Word",23,"Folie14.jpg","Eye",17,6161.2,6253.3,117,"p6"
"7700","Grid",17,"Folie1.jpg","Eye",8,3817.6,3955.7,150.5,"p6"
"7701","Grid",21,"Folie10.jpg","Eye",13,4404.2,4744,384.3,"p6"
"7702","Grid",20,"Folie29.jpg","Eye",17,3519.3,3711.4,183.7,"p6"
"7703","Target Word",6,"Folie9.jpg","Eye",8,2375.3,2506.3,100.2,"p6"
"7704","Grid",5,"Folie12.jpg","Eye",24,6407.6,6623.7,200.3,"p6"
"7705",NA,24,"Folie21.jpg","Eye",16,4397.3,4407.1,16.7,"p6"
"7706",NA,11,"Folie30.jpg","Eye",24,8489.1,8496.6,8.4,"p6"
"7707",NA,8,"Folie22.jpg","Eye",2,624.3,632.9,16.7,"p6"
"7708","Target Word",14,"Folie20.jpg","Eye",6,2952.8,3163.1,292.3,"p6"
"7709","Grid",24,"Folie21.jpg","Eye",10,4379.9,4640.7,258.9,"p6"
"7710",NA,23,"Folie14.jpg","Eye",2,3717,4238.7,743,"p6"
"7711",NA,3,"Folie25.jpg","Eye",15,5496.8,5520.6,16.7,"p6"
"7712",NA,6,"Folie9.jpg","Eye",1,227.5,285.8,58.5,"p6"
"7713",NA,15,"Folie8.jpg","Eye",2,1361.5,1443.9,8.4,"p6"
"7714",NA,11,"Folie30.jpg","Eye",6,2531.3,2591.7,33.4,"p6"
"7715","Grid",20,"Folie29.jpg","Eye",13,3486.8,3854.9,350.8,"p6"
"7716",NA,22,"Folie13.jpg","Eye",11,4304.1,4310.4,16.7,"p6"
"7717","Grid",12,"Folie4.jpg","Eye",37,8636.5,9072.7,425.9,"p6"
"7718","Fixation",2,"Folie3.jpg","Eye",1,1.2,612.9,767.9,"p6"
"7719","Grid",30,"Folie17.jpg","Eye",6,3084.5,3165.6,100.3,"p6"
"7720",NA,27,"Folie18.jpg","Eye",6,3197.9,3214.6,16.7,"p6"
"7721",NA,21,"Folie10.jpg","Eye",26,7820.9,7847.2,41.8,"p6"
"7722",NA,5,"Folie12.jpg","Information",1,0,NA,NA,"p6"
"7723","Grid",2,"Folie3.jpg","Information",13,4008.7,4159,125.2,"p6"
"7724",NA,23,"Folie14.jpg","Eye",20,4714.8,4728.5,16.7,"p6"
"7725",NA,5,"Folie12.jpg","Information",1,0,NA,NA,"p6"
"7726","Grid",19,"Folie2.jpg","Eye",21,6569.6,6943.8,450.8,"p6"
"7727",NA,7,"Folie26.jpg","Eye",9,2476.1,2473.3,8.4,"p6"
"7728","White Space",23,"Folie14.jpg","Eye",25,8706.8,8907,175.3,"p6"
"7729","Grid",12,"Folie4.jpg","Information",8,2731.4,2957.5,242.1,"p6"
"7730","Grid",19,"Folie2.jpg","Eye",23,7172.5,7528.5,400.6,"p6"
"7731",NA,9,"Folie16.jpg","Eye",4,1456.5,1505,8.3,"p6"
"7732",NA,26,"Folie5.jpg","Eye",16,8197.2,8223.2,17,"p6"
"7733",NA,29,"Folie15.jpg","Eye",10,3090.5,3117.6,8.4,"p6"
"7734","Grid",4,"Folie24.jpg","Eye",9,2764.1,2865.2,133.6,"p6"
"7735","Grid",7,"Folie26.jpg","Eye",16,3195.9,3480.7,292.2,"p6"
"7736",NA,21,"Folie10.jpg","Eye",1,414.3,473.5,83.5,"p6"
"7737",NA,1,"Folie19.jpg","Eye",3,2396.8,2459.4,33.4,"p6"
"7738",NA,24,"Folie21.jpg","Eye",3,802.9,816.2,8.4,"p6"
"7739","Target Word",6,"Folie9.jpg","Information",1,0,218.3,200.5,"p6"
"7740","Grid",20,"Folie29.jpg","Eye",26,7925.9,8400.4,459.8,"p6"
"7741","Grid",29,"Folie15.jpg","Eye",13,3707.9,4452,467.6,"p6"
"7742",NA,6,"Folie9.jpg","Eye",9,2459.8,2482,91.9,"p6"
"7743",NA,1,"Folie19.jpg","Eye",3,2231.1,2284.7,33.4,"p6"
"7744",NA,15,"Folie8.jpg","Eye",14,4929.7,4973.9,25.3,"p6"
"7745","Fixation",12,"Folie4.jpg","Eye",3,392.5,571.8,183.7,"p6"
"7746","Grid",29,"Folie15.jpg","Eye",13,3890.2,4015,133.6,"p6"
"7747",NA,11,"Folie30.jpg","Eye",12,4322.1,4384.8,91.9,"p6"
"7748",NA,30,"Folie17.jpg","Eye",22,7921.3,7948.1,16.7,"p6"
"7749","Grid",16,"Folie27.jpg","Eye",10,2848.9,2962.8,142,"p6"
"7750","Grid",1,"Folie19.jpg","Eye",20,6032.4,6300.5,233.8,"p6"
"7751","Grid",21,"Folie10.jpg","Eye",11,2806.6,3040,233.6,"p6"
"7752",NA,27,"Folie18.jpg","Eye",9,3473.5,3500.4,33.4,"p6"
"7753","Grid",9,"Folie16.jpg","Eye",8,3345.1,3593.5,225.3,"p6"
"7754","Grid",6,"Folie9.jpg","Eye",26,8460.6,8582.5,133.6,"p6"
"7755",NA,14,"Folie20.jpg","Eye",3,340.8,334.4,8.3,"p6"
"7756","Grid",18,"Folie11.jpg","Eye",79,41243.9,42087.2,200.3,"p6"
"7757","Grid",17,"Folie1.jpg","Eye",31,7980.8,8665.4,893.5,"p6"
"7758","Grid",4,"Folie24.jpg","Eye",7,2995.5,3096.4,142,"p6"
"7759","Grid",22,"Folie13.jpg","Eye",22,6901.8,7298.6,400.7,"p6"
"7760",NA,14,"Folie20.jpg","Information",1,0,NA,NA,"p6"
"7761",NA,2,"Folie3.jpg","Eye",5,2252.3,2275.1,25.1,"p6"
"7762",NA,26,"Folie5.jpg","Eye",25,6671.9,6693.9,8.3,"p6"
"7763","Fixation",8,"Folie22.jpg","Eye",5,1201.6,1587.4,375.8,"p6"
"7764",NA,17,"Folie1.jpg","Eye",17,4268.7,4606.4,66.8,"p6"
"7765","White Space",29,"Folie15.jpg","Eye",6,2296.3,2378.7,75.2,"p6"
"7766","Grid",3,"Folie25.jpg","Eye",7,2896.1,3158.4,300.6,"p6"
"7767",NA,16,"Folie27.jpg","Eye",15,5553.1,5572.8,33.2,"p6"
"7768","White Space",15,"Folie8.jpg","Eye",29,8404,8596.9,225.5,"p6"
"7769",NA,7,"Folie26.jpg","Eye",23,4974.4,4983.5,16.7,"p6"
"7770",NA,7,"Folie26.jpg","Eye",17,7132.1,7165,8.3,"p6"
"7771","Fixation",18,"Folie11.jpg","Eye",5,844.8,2030.3,1102.2,"p6"
"7772",NA,23,"Folie14.jpg","Eye",16,5823.4,5838.7,75.2,"p6"
"7773","Grid",19,"Folie2.jpg","Eye",8,3178.8,3395.9,208.8,"p6"
"7774","Grid",15,"Folie8.jpg","Eye",11,3081.4,3274.5,192.1,"p6"
"7775",NA,6,"Folie9.jpg","Eye",25,7769.8,7772.9,8.4,"p6"
"7776",NA,22,"Folie13.jpg","Eye",1,5159.3,5374.1,476,"p6"
"7777","Fixation",30,"Folie17.jpg","Eye",6,2032.9,2269.6,175.4,"p6"
"7778","Grid",22,"Folie13.jpg","Eye",6,2800.9,3084.8,292.2,"p6"
"7779",NA,10,"Folie23.jpg","Eye",15,4268.1,4302.1,25,"p6"
"7780","Fixation",7,"Folie26.jpg","Eye",2,338.3,1453.5,1060.6,"p6"
"7781",NA,23,"Folie14.jpg","Eye",21,6535.8,6555.7,8.4,"p6"
"7782",NA,4,"Folie24.jpg","Eye",18,5642.5,5696.7,41.9,"p6"
"7783",NA,27,"Folie18.jpg","Eye",13,4132.3,4149.8,25,"p6"
"7784","Target Word",16,"Folie27.jpg","Eye",22,8964.1,9081.4,75.1,"p6"
"7785","Grid",15,"Folie8.jpg","Eye",19,4076,4318,233.9,"p6"
"7786",NA,24,"Folie21.jpg","Eye",29,8914.1,8922.5,8.3,"p6"
"7787","Grid",21,"Folie10.jpg","Eye",21,6103.1,6579.3,484.2,"p6"
"7788",NA,1,"Folie19.jpg","Eye",1,752.4,774.9,8.4,"p6"
"7789",NA,19,"Folie2.jpg","Eye",31,7132.2,7145.8,8.4,"p6"
"7790",NA,25,"Folie28.jpg","Eye",19,7177.4,7210.8,91.9,"p6"
"7791",NA,25,"Folie28.jpg","Eye",17,6976,7017.3,8.4,"p6"
"7792","Grid",5,"Folie12.jpg","Eye",24,6254.4,6446.5,217.2,"p6"
"7793",NA,11,"Folie30.jpg","Eye",25,7697.3,7695.1,8.4,"p6"
"7794","Grid",24,"Folie21.jpg","Eye",10,3313.6,3471.9,150.3,"p6"
"7795",NA,11,"Folie30.jpg","Eye",1,1.2,301.3,276.2,"p6"
"7796","Grid",17,"Folie1.jpg","Eye",24,8030.5,8116,136.2,"p6"
"7797",NA,16,"Folie27.jpg","Eye",11,4302,4328.3,8.4,"p6"
"7798",NA,8,"Folie22.jpg","Eye",27,8962,8969.7,8.3,"p6"
"7799","Grid",26,"Folie5.jpg","Eye",15,4124.8,4327.8,158.6,"p6"
"7800",NA,30,"Folie17.jpg","Information",1,0,NA,NA,"p6"
"7801",NA,27,"Folie18.jpg","Eye",2,519.5,533.2,8.4,"p6"
"7802","Grid",19,"Folie2.jpg","Eye",15,5772.5,5774.3,83.6,"p6"
"7803","White Space",1,"Folie19.jpg","Eye",3,2296.6,2365.1,66.8,"p6"
"7804",NA,14,"Folie20.jpg","Eye",23,8860.2,8985.4,33.4,"p6"
"7805",NA,24,"Folie21.jpg","Eye",6,2464.8,2475.3,8.4,"p6"
"7806",NA,2,"Folie3.jpg","Eye",14,6166.1,6180.9,100.2,"p6"
"7807",NA,10,"Folie23.jpg","Eye",17,4488.5,4495.3,8.4,"p6"
"7808",NA,30,"Folie17.jpg","Eye",7,3184.1,3196.1,16.7,"p6"
"7809",NA,26,"Folie5.jpg","Eye",12,5487.2,5479.8,8.4,"p6"
"7810","Grid",26,"Folie5.jpg","Eye",19,5020.4,5191.1,142,"p6"
"7811","Target Word",5,"Folie12.jpg","Eye",28,8078.9,8743,876.9,"p6"
"7812",NA,15,"Folie8.jpg","Eye",6,2022.8,2033.2,25.1,"p6"
"7813",NA,23,"Folie14.jpg","Eye",11,3906.9,3923.3,16.7,"p6"
"7814",NA,15,"Folie8.jpg","Eye",22,7457.5,7485,25,"p6"
"7815",NA,19,"Folie2.jpg","Eye",18,8326.5,8323.2,8.3,"p6"
"7816","Grid",27,"Folie18.jpg","Eye",18,7045.6,7438,467.3,"p6"
"7817",NA,16,"Folie27.jpg","Eye",10,3816.1,3842.6,25,"p6"
"7818",NA,24,"Folie21.jpg","Eye",10,4747.3,4772.3,41.8,"p6"
"7819","Grid",23,"Folie14.jpg","Eye",22,6652,6917.2,258.7,"p6"
"7820",NA,3,"Folie25.jpg","Eye",10,3730.7,3749.3,25,"p6"
"7821",NA,15,"Folie8.jpg","Eye",12,4487.9,4497.1,8.4,"p6"
"7822","Grid",15,"Folie8.jpg","Eye",13,4447.7,4765.9,292.3,"p6"
"7823","Grid",1,"Folie19.jpg","Eye",21,5878.6,6223.6,258.9,"p6"
"7824","Grid",11,"Folie30.jpg","Eye",11,3827.2,4026.2,216.9,"p6"
"7825","Grid",24,"Folie21.jpg","Eye",18,5101.2,5355.7,225.4,"p6"
"7826",NA,4,"Folie24.jpg","Eye",3,8339,8600.9,83.5,"p6"
"7827","Grid",21,"Folie10.jpg","Eye",4,2286.8,2462.2,183.8,"p6"
"7828",NA,1,"Folie19.jpg","Eye",6,3495,3517.1,8.4,"p6"
"7829","Grid",23,"Folie14.jpg","Information",11,3542.7,3749.3,242.3,"p6"
"7830",NA,26,"Folie5.jpg","Eye",19,5266.6,5312.5,8.4,"p6"
"7831",NA,16,"Folie27.jpg","Eye",18,7067.6,7102.6,50.1,"p6"
"7832",NA,14,"Folie20.jpg","Eye",18,6473.3,6481.8,8.5,"p6"
"7833",NA,16,"Folie27.jpg","Eye",14,5639.8,5674.1,66.8,"p6"
"7834",NA,26,"Folie5.jpg","Eye",13,4925.3,4933.7,8.4,"p6"
"7835","Fixation",18,"Folie11.jpg","Eye",17,14230.8,14965.7,141.9,"p6"
"7836","Grid",13,"Folie7.jpg","Eye",20,5593.8,6002.5,467.3,"p6"
"7837",NA,18,"Folie11.jpg","Eye",15,7679.3,7689.4,16.7,"p6"
"7838","Target Word",24,"Folie21.jpg","Eye",8,2521.4,2899.6,308.9,"p6"
"7839","Target Word",9,"Folie16.jpg","Eye",9,4351.9,4538.5,284.3,"p6"
"7840","Target Word",25,"Folie28.jpg","Eye",6,2803.2,2888.9,75.1,"p6"
"7841","White Space",15,"Folie8.jpg","Eye",13,4007,4031.7,66.8,"p6"
"7842",NA,23,"Folie14.jpg","Eye",12,6639.9,6635,33.5,"p6"
"7843","Grid",13,"Folie7.jpg","Eye",22,8005,8474.2,567.8,"p6"
"7844","Grid",18,"Folie11.jpg","Eye",14,4425.1,4663.9,217,"p6"
"7845",NA,5,"Folie12.jpg","Eye",13,4556.4,4565.7,8.3,"p6"
"7846",NA,26,"Folie5.jpg","Eye",8,3492,3517.1,33.4,"p6"
"7847",NA,1,"Folie19.jpg","Eye",8,3582.8,3614.7,16.7,"p6"
"7848",NA,12,"Folie4.jpg","Eye",1,3500,3989.1,434.2,"p6"
"7849","Grid",4,"Folie24.jpg","Eye",10,2935.6,3085.9,141.9,"p6"
"7850",NA,15,"Folie8.jpg","Eye",10,5170.6,5158.5,16.7,"p6"
"7851","Target Word",17,"Folie1.jpg","Eye",26,8254.8,8707.5,122.2,"p6"
"7852","Target Word",2,"Folie3.jpg","Eye",7,2593.9,2803.9,167,"p6"
"7853",NA,30,"Folie17.jpg","Eye",16,5163.5,5158.5,8.3,"p6"
"7854",NA,18,"Folie11.jpg","Eye",11,3656.9,3648.3,8.4,"p6"
"7855","Grid",28,"Folie6.jpg","Eye",21,7049.5,7236.9,183.4,"p6"
"7856","Target Word",18,"Folie11.jpg","Eye",21,7490.7,8641.1,392.7,"p6"
"7857","Grid",20,"Folie29.jpg","Eye",10,3828.3,3996.4,167,"p6"
"7858",NA,15,"Folie8.jpg","Information",1,0,NA,NA,"p6"
"7859",NA,6,"Folie9.jpg","Eye",19,6088.1,6137.6,42.3,"p6"
"7860",NA,16,"Folie27.jpg","Eye",23,8893.9,8913.7,41.7,"p6"
"7861","Grid",23,"Folie14.jpg","Eye",15,3712.8,3819.3,116.9,"p6"
"7862",NA,29,"Folie15.jpg","Eye",19,6419,6460.3,8.3,"p6"
"7863","Target Word",7,"Folie26.jpg","Eye",14,3864.5,4002.6,216.9,"p6"
"7864",NA,3,"Folie25.jpg","Eye",3,537.1,548.1,8.4,"p6"
"7865",NA,29,"Folie15.jpg","Eye",2,528.6,554.1,75.1,"p6"
"7866",NA,8,"Folie22.jpg","Eye",24,7777,7805.7,25,"p6"
"7867",NA,1,"Folie19.jpg","Eye",1,8417.5,8956.4,192,"p6"
"7868",NA,20,"Folie29.jpg","Eye",12,3805.8,3803.1,16.7,"p6"
"7869",NA,13,"Folie7.jpg","Eye",19,5651.1,5647.1,8.3,"p6"
"7870",NA,18,"Folie11.jpg","Eye",26,24703.5,24514.3,8.3,"p6"
"7871","Grid",7,"Folie26.jpg","Eye",1,64.8,240.6,184.3,"p6"
"7872",NA,9,"Folie16.jpg","Eye",23,8322.5,8339.1,8.4,"p6"
"7873","Grid",13,"Folie7.jpg","Eye",16,5012.3,5238.3,200.3,"p6"
"7874","Grid",19,"Folie2.jpg","Eye",10,3873.5,4223.6,275.7,"p6"
"7875","White Space",10,"Folie23.jpg","Eye",8,2007.1,2227.8,83.6,"p6"
"7876","White Space",2,"Folie3.jpg","Eye",22,6334.2,6622.5,292.3,"p6"
"7877",NA,4,"Folie24.jpg","Eye",21,7194.1,7199.1,25,"p6"
"7878",NA,23,"Folie14.jpg","Eye",26,7815.6,7860.9,41.8,"p6"
"7879","Grid",22,"Folie13.jpg","Eye",12,4797.1,4887.8,91.9,"p6"
"7880",NA,28,"Folie6.jpg","Eye",10,3276.9,3308.8,33.4,"p6"
"7881","Grid",19,"Folie2.jpg","Eye",11,4121.1,4554.1,517.4,"p6"
"7882",NA,27,"Folie18.jpg","Eye",4,2682.1,2708.6,41.7,"p6"
"7883",NA,10,"Folie23.jpg","Eye",2,749.3,757.2,8.4,"p6"
"7884","Grid",7,"Folie26.jpg","Eye",24,7576,7896.3,258.8,"p6"
"7885","Grid",1,"Folie19.jpg","Eye",7,2297.1,2363.9,66.8,"p6"
"7886",NA,9,"Folie16.jpg","Eye",2,606.7,648.1,16.7,"p6"
"7887",NA,18,"Folie11.jpg","Eye",15,6100,6093.6,8.4,"p6"
"7888",NA,23,"Folie14.jpg","Eye",7,3151.7,3170,16.7,"p6"
"7889",NA,16,"Folie27.jpg","Eye",2,1086.7,1277.8,8.4,"p6"
"7890","Target Word",18,"Folie11.jpg","Eye",6,2563.4,3038.9,467.7,"p6"
"7891",NA,19,"Folie2.jpg","Eye",19,7826.7,7824.6,8.4,"p6"
"7892",NA,18,"Folie11.jpg","Eye",18,6600.7,6642.2,8.4,"p6"
"7893","Fixation",7,"Folie26.jpg","Eye",7,1642.2,1795.8,75.2,"p6"
"7894","Target Word",12,"Folie4.jpg","Eye",8,2705.8,3199.3,442.6,"p6"
"7895",NA,6,"Folie9.jpg","Eye",19,5013.9,5038.8,25.1,"p6"
"7896",NA,16,"Folie27.jpg","Eye",12,4346.2,4340.3,8.4,"p6"
"7897","Grid",10,"Folie23.jpg","Eye",21,8680.9,8823,125.2,"p6"
"7898","Target Word",27,"Folie18.jpg","Information",1,0,265.2,258.8,"p6"
"7899",NA,29,"Folie15.jpg","Eye",17,5553.5,5556.5,16.7,"p6"
"7900","Grid",4,"Folie24.jpg","Eye",19,4876.3,4995.9,133.6,"p6"
"7901",NA,28,"Folie6.jpg","Eye",3,771.9,759.3,16.7,"p6"
"7902",NA,3,"Folie25.jpg","Eye",21,7079.1,7097.5,25,"p6"
"7903","Grid",28,"Folie6.jpg","Eye",15,4149,4294.9,167,"p6"
"7904",NA,18,"Folie11.jpg","Eye",8,2880.2,2904.1,8.3,"p6"
"7905","White Space",26,"Folie5.jpg","Eye",6,2247.7,2292,75.2,"p6"
"7906","Grid",27,"Folie18.jpg","Eye",12,3639.7,3805.8,133.6,"p6"
"7907",NA,18,"Folie11.jpg","Eye",8,2939.8,2956.6,8.3,"p6"
